dataset,k,dimension,trajectoryNumber,heightnew,nodecounts,leafnodes,depthmean,depthsd,radiusmean,radiussd,pointsmean,pointssd,disfathermean,disfathersd,height,leafnode,radiusMean,radiusSD,fastest,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,slowest
Bigcross,10,57,1162000,1.6666666,4.73292599,1.5777,1.1698,0.1415,0.020292134,0.007258226,0.6339,0.275,0.0136,0.0092,1.6666666,1.5843,0.02029533,0.00732616,13,14,7,9,10,3,4,15,8,2,12,1,11,0,6,5
Bigcross,100,57,1162000,1.6666666,4.73292599,1.5777,1.1698,0.1415,0.020292134,0.007258226,0.6339,0.275,0.0136,0.0092,1.6666666,1.5843,0.02029533,0.00732616,14,10,9,7,8,12,2,3,4,11,1,6,15,13,0,5
Bigcross,1000,57,1162000,1.6666666,4.73292599,1.5777,1.1698,0.1415,0.020292134,0.007258226,0.6339,0.275,0.0136,0.0092,1.6666666,1.5843,0.02029533,0.00732616,14,10,9,7,8,12,2,4,11,1,6,3,13,0,15,5
Bigcross,10,10,1000,2.0,4.53,1.53,1.3373,0.3486,0.062839208,0.023070092,0.6536,0.2072,0.0318,0.0168,2.0,1.56,0.06267736,0.02315712,3,2,0,6,1,7,10,9,11,4,8,12,13,14,5,15
Bigcross,100,10,1000,2.0,4.53,1.53,1.3373,0.3486,0.062839208,0.023070092,0.6536,0.2072,0.0318,0.0168,2.0,1.56,0.06267736,0.02315712,6,14,7,3,8,9,2,13,0,4,15,10,1,11,12,5
Bigcross,1000,10,1000,2.0,4.53,1.53,1.3373,0.3486,0.062839208,0.023070092,0.6536,0.2072,0.0318,0.0168,2.0,1.56,0.06267736,0.02315712,6,10,7,8,9,14,15,13,5,0,4,2,1,3,12,11
Bigcross,10,10,10000,1.75,4.782,1.5959999999999999,1.2477,0.209,0.049228361,0.020897759,0.6266,0.2317,0.0266,0.0188,1.75,1.5659999999999998,0.0496353,0.02054328,0,14,3,1,2,11,10,9,7,4,8,6,13,12,15,5
Bigcross,100,10,10000,1.75,4.782,1.5959999999999999,1.2477,0.209,0.049228361,0.020897759,0.6266,0.2317,0.0266,0.0188,1.75,1.5659999999999998,0.0496353,0.02054328,14,7,10,9,8,6,3,2,12,13,0,11,4,1,15,5
Bigcross,1000,10,10000,1.75,4.782,1.5959999999999999,1.2477,0.209,0.049228361,0.020897759,0.6266,0.2317,0.0266,0.0188,1.75,1.5659999999999998,0.0496353,0.02054328,14,7,9,8,6,10,13,2,0,4,12,1,15,11,3,5
Bigcross,10,10,100000,1.6363636000000001,4.6542,1.5516,1.2324,0.154,0.027266653,0.009204637,0.6445,0.2174,0.0136,0.0079,1.6363636000000001,1.5426,0.02724081,0.00897551,3,14,2,0,10,13,1,7,11,9,4,8,6,15,12,5
Bigcross,100,10,100000,1.6363636000000001,4.6542,1.5516,1.2324,0.154,0.027266653,0.009204637,0.6445,0.2174,0.0136,0.0079,1.6363636000000001,1.5426,0.02724081,0.00897551,7,14,10,9,8,6,3,12,2,13,0,4,11,15,1,5
Bigcross,1000,10,100000,1.6363636000000001,4.6542,1.5516,1.2324,0.154,0.027266653,0.009204637,0.6445,0.2174,0.0136,0.0079,1.6363636000000001,1.5426,0.02724081,0.00897551,7,14,10,9,8,6,12,13,2,0,4,1,11,15,3,5
Bigcross,10,10,1000000,1.6,4.59849,1.5328,1.1375,0.1179,0.01856563,0.005548561,0.6524,0.2556,0.0096,0.0056,1.5333333,1.5262,0.01863884,0.00554861,3,2,14,13,0,1,7,10,11,4,9,8,15,12,6,5
Bigcross,100,10,1000000,1.6,4.59849,1.5328,1.1375,0.1179,0.01856563,0.005548561,0.6524,0.2556,0.0096,0.0056,1.5333333,1.5262,0.01863884,0.00554861,7,10,14,9,8,6,3,12,2,0,13,4,11,1,15,5
Bigcross,1000,10,1000000,1.6,4.59849,1.5328,1.1375,0.1179,0.01856563,0.005548561,0.6524,0.2556,0.0096,0.0056,1.5333333,1.5262,0.01863884,0.00554861,10,7,14,9,8,6,12,0,13,2,4,11,1,15,3,5
Bigcross,10,20,1000,2.0,4.17,1.41,1.383,0.4284,0.105108726,0.063511663,0.7092,0.4096,0.0667,0.0513,2.0,1.44,0.10370627,0.06446579,2,3,7,9,0,10,6,1,4,11,8,12,14,13,5,15
Bigcross,100,20,1000,2.0,4.17,1.41,1.383,0.4284,0.105108726,0.063511663,0.7092,0.4096,0.0667,0.0513,2.0,1.44,0.10370627,0.06446579,14,7,9,8,6,3,13,2,15,4,1,12,0,11,10,5
Bigcross,1000,20,1000,2.0,4.17,1.41,1.383,0.4284,0.105108726,0.063511663,0.7092,0.4096,0.0667,0.0513,2.0,1.44,0.10370627,0.06446579,6,13,7,8,9,10,15,14,5,2,4,0,3,1,12,11
Bigcross,10,20,10000,1.625,4.611000000000001,1.5390000000000001,1.2108,0.1747,0.070700515,0.029260051000000002,0.6498,0.2134,0.0392,0.0237,1.625,1.575,0.07067907,0.02966207,14,3,2,1,7,0,10,9,11,4,8,13,6,12,15,5
Bigcross,100,20,10000,1.625,4.611000000000001,1.5390000000000001,1.2108,0.1747,0.070700515,0.029260051000000002,0.6498,0.2134,0.0392,0.0237,1.625,1.575,0.07067907,0.02966207,7,14,9,10,8,2,6,3,12,11,4,1,13,0,15,5
Bigcross,1000,20,10000,1.625,4.611000000000001,1.5390000000000001,1.2108,0.1747,0.070700515,0.029260051000000002,0.6498,0.2134,0.0392,0.0237,1.625,1.575,0.07067907,0.02966207,14,7,9,8,10,2,6,13,4,12,1,0,15,11,3,5
Bigcross,10,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,14,13,3,7,2,10,9,11,8,1,4,12,15,0,6,5
Bigcross,100,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,7,10,9,14,8,3,12,2,6,11,13,4,1,0,15,5
Bigcross,1000,20,100000,1.7272726999999999,4.6389,1.5465,1.2266,0.1644,0.041406806000000004,0.010780091,0.6466,0.2294,0.0211,0.0106,1.7272726999999999,1.5399,0.04159334,0.0109711,7,14,10,9,8,12,2,6,13,1,0,4,11,15,3,5
Bigcross,10,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,13,14,2,3,7,1,10,9,4,0,15,11,8,12,6,5
Bigcross,100,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,14,7,10,9,8,3,12,2,6,13,11,4,15,0,1,5
Bigcross,1000,20,1000000,1.6666666,4.59516,1.5317,1.1441,0.1348,0.022058535,0.007567287,0.6529,0.3182,0.0143,0.0096,1.6,1.5324,0.02205995,0.00752663,10,14,7,9,8,12,2,6,0,13,1,4,11,15,3,5
Bigcross,10,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,2,7,3,1,4,14,8,0,6,10,9,11,12,13,5,15
Bigcross,100,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,14,7,9,8,3,2,6,1,4,13,0,15,11,12,10,5
Bigcross,1000,30,1000,2.0,4.53,1.53,1.3569,0.3722,0.099063265,0.060093079,0.6536,0.2485,0.0616,0.055,2.2,1.38,0.10581058,0.06536331,6,10,13,15,14,7,9,8,2,5,0,4,1,3,12,11
Bigcross,10,30,10000,1.75,4.7010000000000005,1.569,1.2299,0.1851,0.06911972799999999,0.027858101,0.6373,0.2157,0.04,0.0282,1.625,1.578,0.06975626,0.02834367,2,3,14,1,4,11,10,9,7,8,0,13,12,6,15,5
Bigcross,100,30,10000,1.75,4.7010000000000005,1.569,1.2299,0.1851,0.06911972799999999,0.027858101,0.6373,0.2157,0.04,0.0282,1.625,1.578,0.06975626,0.02834367,7,14,9,8,10,3,2,12,6,11,4,1,13,0,15,5
Bigcross,1000,30,10000,1.75,4.7010000000000005,1.569,1.2299,0.1851,0.06911972799999999,0.027858101,0.6373,0.2157,0.04,0.0282,1.625,1.578,0.06975626,0.02834367,9,7,14,10,8,2,4,6,1,12,0,13,11,3,15,5
Bigcross,10,30,100000,1.7272726999999999,4.6767,1.5591,1.2433,0.17300000000000001,0.041437584,0.01098436,0.6414,0.2362,0.0214,0.0115,1.7272726999999999,1.5438,0.04171234,0.0111416,14,3,2,9,10,11,13,1,4,7,12,15,8,6,0,5
Bigcross,100,30,100000,1.7272726999999999,4.6767,1.5591,1.2433,0.17300000000000001,0.041437584,0.01098436,0.6414,0.2362,0.0214,0.0115,1.7272726999999999,1.5438,0.04171234,0.0111416,7,10,14,9,8,3,12,2,6,11,4,1,13,0,15,5
Bigcross,1000,30,100000,1.7272726999999999,4.6767,1.5591,1.2433,0.17300000000000001,0.041437584,0.01098436,0.6414,0.2362,0.0214,0.0115,1.7272726999999999,1.5438,0.04171234,0.0111416,14,7,10,9,8,12,2,4,1,6,11,0,13,15,3,5
Bigcross,10,30,1000000,1.5333333,4.619190000000001,1.5397,1.1409,0.1329,0.021999223,0.007520625,0.6495,0.3073,0.0142,0.0095,1.6,1.5288,0.02197425,0.00751893,14,13,2,3,15,10,4,7,11,1,8,9,12,0,6,5
Bigcross,100,30,1000000,1.5333333,4.619190000000001,1.5397,1.1409,0.1329,0.021999223,0.007520625,0.6495,0.3073,0.0142,0.0095,1.6,1.5288,0.02197425,0.00751893,10,7,14,8,9,3,2,12,4,6,11,1,13,0,15,5
Bigcross,1000,30,1000000,1.5333333,4.619190000000001,1.5397,1.1409,0.1329,0.021999223,0.007520625,0.6495,0.3073,0.0142,0.0095,1.6,1.5288,0.02197425,0.00751893,7,10,14,9,8,12,2,6,4,1,11,13,0,15,3,5
Bigcross,10,40,1000,2.2,4.17,1.41,1.4128,0.4729,0.10781151,0.0632355,0.7092,0.3124,0.0646,0.0508,2.4,1.53,0.10283036,0.06262387,2,14,4,1,3,7,9,10,8,11,6,12,0,13,15,5
Bigcross,100,40,1000,2.2,4.17,1.41,1.4128,0.4729,0.10781151,0.0632355,0.7092,0.3124,0.0646,0.0508,2.4,1.53,0.10283036,0.06262387,7,14,9,3,8,2,6,4,1,13,0,11,15,10,12,5
Bigcross,1000,40,1000,2.2,4.17,1.41,1.4128,0.4729,0.10781151,0.0632355,0.7092,0.3124,0.0646,0.0508,2.4,1.53,0.10283036,0.06262387,6,10,13,9,7,8,14,15,2,5,4,1,0,3,12,11
Bigcross,10,40,10000,1.625,4.629,1.545,1.2141,0.1729,0.070032946,0.029470998999999998,0.6472,0.2293,0.04,0.0272,1.625,1.5419999999999998,0.07050363,0.02950749,14,1,8,7,2,3,13,11,9,4,10,0,15,6,12,5
Bigcross,100,40,10000,1.625,4.629,1.545,1.2141,0.1729,0.070032946,0.029470998999999998,0.6472,0.2293,0.04,0.0272,1.625,1.5419999999999998,0.07050363,0.02950749,7,8,14,9,3,2,10,12,4,1,6,11,13,0,15,5
Bigcross,1000,40,10000,1.625,4.629,1.545,1.2141,0.1729,0.070032946,0.029470998999999998,0.6472,0.2293,0.04,0.0272,1.625,1.5419999999999998,0.07050363,0.02950749,14,9,7,8,10,2,1,4,6,12,13,11,0,3,15,5
Bigcross,10,40,100000,1.7272726999999999,4.6047,1.5351,1.2383,0.1763,0.04166947,0.011200392,0.6514,0.2351,0.0211,0.0104,1.7272726999999999,1.5558,0.04158127,0.01124628,14,10,2,11,4,1,3,13,7,12,9,8,0,15,6,5
Bigcross,100,40,100000,1.7272726999999999,4.6047,1.5351,1.2383,0.1763,0.04166947,0.011200392,0.6514,0.2351,0.0211,0.0104,1.7272726999999999,1.5558,0.04158127,0.01124628,7,14,10,9,8,3,2,12,11,6,4,1,13,15,0,5
Bigcross,1000,40,100000,1.7272726999999999,4.6047,1.5351,1.2383,0.1763,0.04166947,0.011200392,0.6514,0.2351,0.0211,0.0104,1.7272726999999999,1.5558,0.04158127,0.01124628,7,10,9,14,8,12,2,4,1,11,6,0,13,3,15,5
Bigcross,10,40,1000000,1.6666666,4.5620400000000005,1.5207,1.1461,0.1365,0.02213043,0.007598559,0.6576,0.3312,0.0142,0.0095,1.6,1.545,0.02196363,0.00750795,14,2,13,7,10,15,4,8,9,11,3,1,12,0,6,5
Bigcross,100,40,1000000,1.6666666,4.5620400000000005,1.5207,1.1461,0.1365,0.02213043,0.007598559,0.6576,0.3312,0.0142,0.0095,1.6,1.545,0.02196363,0.00750795,10,14,7,9,8,3,12,2,4,11,6,1,13,0,15,5
Bigcross,1000,40,1000000,1.6666666,4.5620400000000005,1.5207,1.1461,0.1365,0.02213043,0.007598559,0.6576,0.3312,0.0142,0.0095,1.6,1.545,0.02196363,0.00750795,14,10,7,9,8,12,2,11,4,1,6,13,0,15,3,5
Bigcross,10,50,1000,2.2,4.44,1.5,1.42,0.4512,0.101950156,0.063790187,0.6667,0.3108,0.0599,0.0501,2.0,1.59,0.09669828,0.06311997,14,2,11,3,4,7,10,9,1,12,8,6,0,13,15,5
Bigcross,100,50,1000,2.2,4.44,1.5,1.42,0.4512,0.101950156,0.063790187,0.6667,0.3108,0.0599,0.0501,2.0,1.59,0.09669828,0.06311997,14,7,8,9,3,2,4,6,1,11,13,15,12,0,10,5
Bigcross,1000,50,1000,2.2,4.44,1.5,1.42,0.4512,0.101950156,0.063790187,0.6667,0.3108,0.0599,0.0501,2.0,1.59,0.09669828,0.06311997,6,7,10,8,13,15,14,9,4,2,5,3,1,0,11,12
Bigcross,10,50,10000,1.625,4.656000000000001,1.554,1.2155,0.1747,0.070149494,0.029953257,0.6435,0.222,0.0401,0.0282,1.625,1.59,0.06965248,0.02895734,14,2,4,7,10,9,1,11,3,8,13,15,12,6,0,5
Bigcross,100,50,10000,1.625,4.656000000000001,1.554,1.2155,0.1747,0.070149494,0.029953257,0.6435,0.222,0.0401,0.0282,1.625,1.59,0.06965248,0.02895734,14,7,9,8,10,3,2,4,12,11,1,6,13,0,15,5
Bigcross,1000,50,10000,1.625,4.656000000000001,1.554,1.2155,0.1747,0.070149494,0.029953257,0.6435,0.222,0.0401,0.0282,1.625,1.59,0.06965248,0.02895734,14,9,7,8,10,2,4,1,6,12,13,3,11,0,15,5
Bigcross,10,50,100000,1.7272726999999999,4.6614,1.554,1.2236,0.1574,0.041525849,0.011047491000000001,0.6435,0.2275,0.0212,0.011000000000000001,1.7272726999999999,1.5414,0.0415141,0.01093769,14,9,10,7,11,4,8,2,1,12,13,3,15,6,0,5
Bigcross,100,50,100000,1.7272726999999999,4.6614,1.554,1.2236,0.1574,0.041525849,0.011047491000000001,0.6435,0.2275,0.0212,0.011000000000000001,1.7272726999999999,1.5414,0.0415141,0.01093769,7,10,14,9,8,3,12,2,4,11,1,6,13,0,15,5
Bigcross,1000,50,100000,1.7272726999999999,4.6614,1.554,1.2236,0.1574,0.041525849,0.011047491000000001,0.6435,0.2275,0.0212,0.011000000000000001,1.7272726999999999,1.5414,0.0415141,0.01093769,10,7,9,14,8,2,12,4,1,11,6,3,13,0,15,5
Bigcross,10,50,1000000,1.6,4.58328,1.5278,1.1462,0.1358,0.022111151000000002,0.007550823000000001,0.6545,0.3228,0.0142,0.0095,1.6,1.5401,0.02196602,0.00755029,14,2,13,15,4,3,9,7,10,11,8,1,12,0,6,5
Bigcross,100,50,1000000,1.6,4.58328,1.5278,1.1462,0.1358,0.022111151000000002,0.007550823000000001,0.6545,0.3228,0.0142,0.0095,1.6,1.5401,0.02196602,0.00755029,14,7,10,9,8,12,3,2,4,11,1,6,13,0,15,5
Bigcross,1000,50,1000000,1.6,4.58328,1.5278,1.1462,0.1358,0.022111151000000002,0.007550823000000001,0.6545,0.3228,0.0142,0.0095,1.6,1.5401,0.02196602,0.00755029,14,10,7,9,12,8,2,11,1,4,13,6,15,0,3,5
conf,10,3,164860,1.9166666,4.246876137,1.4157,1.2912,0.1797,0.02449491,0.020213389,0.7063,0.3823,0.0143,0.0176,1.75,1.4247,0.02446504,0.02002285,7,6,13,3,10,9,0,14,12,15,1,8,11,5,4,2
conf,100,3,164860,1.9166666,4.246876137,1.4157,1.2912,0.1797,0.02449491,0.020213389,0.7063,0.3823,0.0143,0.0176,1.75,1.4247,0.02446504,0.02002285,10,9,14,8,6,12,13,7,2,3,0,15,4,11,1,5
conf,1000,3,164860,1.9166666,4.246876137,1.4157,1.2912,0.1797,0.02449491,0.020213389,0.7063,0.3823,0.0143,0.0176,1.75,1.4247,0.02446504,0.02002285,10,14,9,7,8,6,13,12,0,2,15,11,4,1,3,5
conf,10,2,1000,2.0,5.25,1.77,1.4508,0.3427,0.044076052000000004,0.033692779,0.565,0.3077,0.0601,0.1284,2.0,1.56,0.0493486,0.04027191,14,10,9,11,12,6,3,5,8,0,2,7,1,4,13,15
conf,100,2,1000,2.0,5.25,1.77,1.4508,0.3427,0.044076052000000004,0.033692779,0.565,0.3077,0.0601,0.1284,2.0,1.56,0.0493486,0.04027191,14,7,9,8,6,2,3,10,13,4,0,11,15,12,1,5
conf,1000,2,1000,2.0,5.25,1.77,1.4508,0.3427,0.044076052000000004,0.033692779,0.565,0.3077,0.0601,0.1284,2.0,1.56,0.0493486,0.04027191,6,15,7,14,10,8,9,5,0,4,2,13,1,3,12,11
conf,10,2,10000,2.0,4.629,1.545,1.3481,0.2636,0.025417382999999998,0.028109502,0.6472,0.2584,0.0193,0.0291,2.0,1.527,0.02664467,0.02773826,13,3,6,14,15,2,1,4,7,11,12,10,5,9,8,0
conf,100,2,10000,2.0,4.629,1.545,1.3481,0.2636,0.025417382999999998,0.028109502,0.6472,0.2584,0.0193,0.0291,2.0,1.527,0.02664467,0.02773826,6,14,7,10,9,8,13,12,3,2,0,11,15,1,4,5
conf,1000,2,10000,2.0,4.629,1.545,1.3481,0.2636,0.025417382999999998,0.028109502,0.6472,0.2584,0.0193,0.0291,2.0,1.527,0.02664467,0.02773826,6,14,7,9,10,8,2,13,0,4,12,1,15,11,5,3
conf,10,2,100000,1.8181819,4.4778,1.4928,1.2835,0.1501,0.009337799999999999,0.011987305,0.6699,0.2079,0.0065,0.0111,1.6363636000000001,1.4751,0.00942129,0.01120599,13,15,14,6,7,10,11,9,8,2,3,0,1,4,12,5
conf,100,2,100000,1.8181819,4.4778,1.4928,1.2835,0.1501,0.009337799999999999,0.011987305,0.6699,0.2079,0.0065,0.0111,1.6363636000000001,1.4751,0.00942129,0.01120599,14,7,10,6,9,13,8,12,2,15,3,0,11,4,1,5
conf,1000,2,100000,1.8181819,4.4778,1.4928,1.2835,0.1501,0.009337799999999999,0.011987305,0.6699,0.2079,0.0065,0.0111,1.6363636000000001,1.4751,0.00942129,0.01120599,14,7,10,9,6,8,12,13,2,0,4,11,1,15,3,5
covtype,10,2,1000,1.4,4.44,1.5,1.196,0.1897,0.044250639,0.020116961000000003,0.6667,0.1867,0.0276,0.0163,1.4,1.56,0.0421,0.0185,8,10,9,11,7,12,14,13,3,4,2,0,6,1,5,15
covtype,100,2,1000,1.4,4.44,1.5,1.196,0.1897,0.044250639,0.020116961000000003,0.6667,0.1867,0.0276,0.0163,1.4,1.56,0.0421,0.0185,6,3,14,7,8,9,5,2,10,12,0,13,4,15,1,11
covtype,1000,2,1000,1.4,4.44,1.5,1.196,0.1897,0.044250639,0.020116961000000003,0.6667,0.1867,0.0276,0.0163,1.4,1.56,0.0421,0.0185,14,15,10,6,5,13,9,3,0,8,7,11,12,2,4,1
covtype,10,2,5000,1.5714285,4.434,1.482,1.2088,0.1699,0.025780462999999997,0.011966678,0.6748,0.2038,0.0163,0.0091,1.5714285,1.5,0.0256,0.0113,2,1,8,6,11,7,9,12,10,4,3,13,14,0,5,15
covtype,100,2,5000,1.5714285,4.434,1.482,1.2088,0.1699,0.025780462999999997,0.011966678,0.6748,0.2038,0.0163,0.0091,1.5714285,1.5,0.0256,0.0113,9,8,6,7,10,3,13,12,11,14,5,0,2,1,4,15
covtype,1000,2,5000,1.5714285,4.434,1.482,1.2088,0.1699,0.025780462999999997,0.011966678,0.6748,0.2038,0.0163,0.0091,1.5714285,1.5,0.0256,0.0113,6,7,9,14,8,10,13,2,4,15,0,12,5,11,3,1
covtype,10,2,10000,1.5,4.422,1.476,1.1845,0.1496,0.017775948,0.008383943,0.6775,0.1881,0.0121,0.0075,1.5,1.515,0.0175,0.0087,13,0,3,2,7,1,11,8,4,6,9,10,15,14,12,5
covtype,100,2,10000,1.5,4.422,1.476,1.1845,0.1496,0.017775948,0.008383943,0.6775,0.1881,0.0121,0.0075,1.5,1.515,0.0175,0.0087,6,14,7,10,9,8,13,3,12,0,11,2,15,4,1,5
covtype,1000,2,10000,1.5,4.422,1.476,1.1845,0.1496,0.017775948,0.008383943,0.6775,0.1881,0.0121,0.0075,1.5,1.515,0.0175,0.0087,14,7,6,10,9,8,13,2,12,0,15,4,11,1,5,3
covtype,10,2,50000,1.7,4.6704,1.47,1.2504,0.1653,0.004806981,0.006425168,0.6803,0.2956,0.005,0.0057,1.7,1.4856,0.0047,0.0062,13,15,14,7,10,11,9,8,2,3,1,12,4,0,6,5
covtype,100,2,50000,1.7,4.6704,1.47,1.2504,0.1653,0.004806981,0.006425168,0.6803,0.2956,0.005,0.0057,1.7,1.4856,0.0047,0.0062,14,13,7,10,9,8,6,15,12,2,3,0,11,4,1,5
covtype,1000,2,50000,1.7,4.6704,1.47,1.2504,0.1653,0.004806981,0.006425168,0.6803,0.2956,0.005,0.0057,1.7,1.4856,0.0047,0.0062,7,10,9,8,14,6,12,2,0,4,1,11,13,15,3,5
covtype,10,2,100000,1.6363636000000001,4.7025,1.2111,1.2302,0.1677,0.002390852,0.004637693,0.8257,0.5391,0.0036,0.0042,1.6363636000000001,1.2069,0.0024,0.0052,13,15,14,2,3,1,0,10,11,4,7,9,8,12,6,5
covtype,100,2,100000,1.6363636000000001,4.7025,1.2111,1.2302,0.1677,0.002390852,0.004637693,0.8257,0.5391,0.0036,0.0042,1.6363636000000001,1.2069,0.0024,0.0052,14,13,15,10,7,9,8,6,12,2,3,0,11,4,1,5
covtype,1000,2,100000,1.6363636000000001,4.7025,1.2111,1.2302,0.1677,0.002390852,0.004637693,0.8257,0.5391,0.0036,0.0042,1.6363636000000001,1.2069,0.0024,0.0052,14,7,10,9,8,6,12,0,2,13,15,4,1,11,3,5
covtype,10,2,500000,1.4285715,3.9892199999999995,0.5613,1.1571,0.1642,0.000826,0.0033044909999999997,1.7816,1.578,0.0017,0.0037,1.4285715,0.561,0.0008,0.0034,13,15,14,2,3,10,7,1,11,4,9,0,8,12,6,5
